UTC Timestamp,Current Measurement
2024-03-28 16:43:51,0.238632
2024-03-28 16:43:52,0.237564
2024-03-28 16:43:53,0.236694
2024-03-28 16:43:54,0.236694
2024-03-28 16:43:55,0.236893
2024-03-28 16:43:56,0.237167
2024-03-28 16:43:57,0.237167
2024-03-28 16:43:58,0.236755
2024-03-28 16:43:59,0.237228
2024-03-28 16:44:00,0.237961
2024-03-28 16:44:01,0.238037
2024-03-28 16:44:02,0.238495
2024-03-28 16:44:03,0.238907
2024-03-28 16:44:04,0.23877
2024-03-28 16:44:05,0.238159
2024-03-28 16:44:06,0.238037
2024-03-28 16:44:07,0.238037
2024-03-28 16:44:08,0.238571
2024-03-28 16:44:09,0.239304
2024-03-28 16:44:10,0.238831
2024-03-28 16:44:11,0.238037
2024-03-28 16:44:12,0.236893
2024-03-28 16:44:13,0.236298
2024-03-28 16:44:14,0.234543
2024-03-28 16:44:15,0.23288
2024-03-28 16:44:16,0.23201
2024-03-28 16:44:17,0.226578
2024-03-28 16:44:18,0.21875
2024-03-28 16:44:19,0.218216
2024-03-28 16:44:20,0.220215
2024-03-28 16:44:21,0.219955
2024-03-28 16:44:22,0.222031
2024-03-28 16:44:23,0.224777
2024-03-28 16:44:24,0.226913
2024-03-28 16:44:25,0.228729
2024-03-28 16:44:26,0.229187
2024-03-28 16:44:27,0.229797
2024-03-28 16:44:28,0.232346
2024-03-28 16:44:29,0.235092
2024-03-28 16:44:30,0.235489
2024-03-28 16:44:31,0.231262
2024-03-28 16:44:32,0.224304
2024-03-28 16:44:33,0.221558
2024-03-28 16:44:34,0.224976
2024-03-28 16:44:35,0.227783
2024-03-28 16:44:36,0.228729
2024-03-28 16:44:37,0.230865
2024-03-28 16:44:38,0.235092
2024-03-28 16:44:39,0.237762
2024-03-28 16:44:40,0.23642
2024-03-28 16:44:41,0.233887
2024-03-28 16:44:42,0.228317
2024-03-28 16:44:43,0.22049
2024-03-28 16:44:44,0.220886
2024-03-28 16:44:45,0.225449
2024-03-28 16:44:46,0.227112
2024-03-28 16:44:47,0.224365
2024-03-28 16:44:48,0.223572
2024-03-28 16:44:49,0.229263
2024-03-28 16:44:50,0.230194
2024-03-28 16:44:51,0.207504
2024-03-28 16:44:52,0.11557
2024-03-28 16:44:53,0.129227
2024-03-28 16:44:54,0.0297852
2024-03-28 16:44:55,0.00735474
2024-03-28 16:44:56,0.00689697
2024-03-28 16:44:57,0.223969
2024-03-28 16:44:58,0.239838
2024-03-28 16:44:59,0.237823
2024-03-28 16:45:00,0.232605
2024-03-28 16:45:01,0.226181
2024-03-28 16:45:02,0.220215
2024-03-28 16:45:03,0.207428
2024-03-28 16:45:04,0.195313
2024-03-28 16:45:05,0.187073
2024-03-28 16:45:06,0.180511
2024-03-28 16:45:07,0.200668
2024-03-28 16:45:08,0.188477
2024-03-28 16:45:09,0.212448
2024-03-28 16:45:10,0.194382
2024-03-28 16:45:11,0.209579
2024-03-28 16:45:12,0.192093
2024-03-28 16:45:13,0.196793
2024-03-28 16:45:14,0.190628
2024-03-28 16:45:15,0.199738
2024-03-28 16:45:16,0.201065
2024-03-28 16:45:17,0.205826
2024-03-28 16:45:18,0.210648
2024-03-28 16:45:19,0.213257
2024-03-28 16:45:20,0.213196
2024-03-28 16:45:21,0.209839
2024-03-28 16:45:22,0.196716
2024-03-28 16:45:23,0.187149
2024-03-28 16:45:24,0.188416
