UTC Timestamp,Current Measurement
2024-03-23 00:26:13,4.00052
2024-03-23 00:26:14,4.00058
2024-03-23 00:26:15,4.00052
2024-03-23 00:26:16,4.00052
2024-03-23 00:26:17,4.00052
2024-03-23 00:26:18,4.00052
2024-03-23 00:26:19,4.00052
2024-03-23 00:26:21,4.00052
2024-03-23 00:26:22,4.00052
2024-03-23 00:26:23,3.7952
2024-03-23 00:26:24,3.05714
2024-03-23 00:26:25,4.00052
2024-03-23 00:26:26,4.00052
2024-03-23 00:26:27,3.12337
2024-03-23 00:26:28,4.00058
2024-03-23 00:26:29,3.28674
2024-03-23 00:26:30,4.00058
2024-03-23 00:26:31,4.00052
2024-03-23 00:26:32,3.30136
2024-03-23 00:26:33,4.00058
2024-03-23 00:26:34,3.15109
2024-03-23 00:26:35,4.00058
2024-03-23 00:26:36,4.00072
2024-03-23 00:26:37,3.51601
2024-03-23 00:26:38,4.00066
2024-03-23 00:26:39,3.17697
2024-03-23 00:26:40,3.18155
2024-03-23 00:26:41,3.18587
2024-03-23 00:26:42,3.18854
2024-03-23 00:26:43,3.18608
2024-03-23 00:26:44,2.97224
2024-03-23 00:26:45,2.98288
2024-03-23 00:26:46,3.14418
2024-03-23 00:26:47,11.403
2024-03-23 00:26:48,11.403
2024-03-23 00:26:49,11.4029
2024-03-23 00:26:50,11.4029
2024-03-23 00:26:51,11.403
2024-03-23 00:26:52,11.4029
2024-03-23 00:26:53,11.4031
2024-03-23 00:26:55,11.403
2024-03-23 00:26:56,11.403
2024-03-23 00:26:57,11.403
2024-03-23 00:26:58,11.403
2024-03-23 00:26:59,11.0005
2024-03-23 00:27:00,11.0005
2024-03-23 00:27:01,10.0008
2024-03-23 00:27:02,9.99112
2024-03-23 00:27:03,3.08289
2024-03-23 00:27:04,3.08853
2024-03-23 00:27:05,3.49506
2024-03-23 00:27:06,10.0007
2024-03-23 00:27:07,10.0009
2024-03-23 00:27:08,10.001
2024-03-23 00:27:09,10.0009
2024-03-23 00:27:10,9.90662
2024-03-23 00:27:11,3.34172
2024-03-23 00:27:12,10.0008
2024-03-23 00:27:13,9.88513
2024-03-23 00:27:14,3.07463
